target,grouped,description,expected,answer,exist_value,plain_hits,cipher_hits,agree,total,zero_max,one_min,one_max,match_sec,exist_sec,plain_sec
01020132924,010-2013-2924,original,1,1,1.0000000004746759,12,12,32768,32768,1.245146136200566e-09,0.9999996716731059,0.9999996978053521,86.06634306907654,13.255982160568237,0.0002162456512451172
01020132925,010-2013-2925,"one digit, last group",0,0,1.0476020685983236e-10,0,0,32768,32768,6.994226232555697e-09,,,85.27554249763489,13.431529521942139,0.0001628398895263672
01065749080,010-6574-9080,original,1,1,0.99999999988705,3,3,32768,32768,1.4809322001030816e-09,0.9999996682624082,0.9999996891515888,84.96297025680542,13.308532476425171,0.00021839141845703125
01065749081,010-6574-9081,"one digit, last group",0,0,-6.765908226629523e-10,0,0,32768,32768,6.4132148998493315e-09,,,83.33159565925598,12.20985722541809,0.0003650188446044922
01026731582,010-2673-1582,original,1,1,1.000000000429277,2,2,32768,32768,1.2250384026711724e-09,0.9999996915124132,0.9999997740660933,81.7229585647583,12.835570096969604,0.0002646446228027344
01026731583,010-2673-1583,"one digit, last group",0,0,2.828914450513733e-11,0,0,32768,32768,1.1639149615646628e-08,,,84.08625507354736,12.706668853759766,0.0002257823944091797
00687524858,006-8752-4858,original,1,1,0.9999999991229236,2,2,32768,32768,1.356674627350728e-09,0.999999686648499,0.9999996963101201,83.85653305053711,12.831670045852661,0.0001780986785888672
00687524859,006-8752-4859,"one digit, last group",0,0,5.000021083238836e-10,0,0,32768,32768,1.1020097663097079e-08,,,84.68416404724121,13.023735046386719,0.0001590251922607422
02020132924,020-2013-2924,"one digit, first group",0,0,-3.137497898629607e-10,0,0,32768,32768,6.116709327181486e-08,,,86.17909908294678,13.312391996383667,0.0002512931823730469
01020232924,010-2023-2924,"one digit, middle group",0,0,3.8798974457907994e-11,0,0,32768,32768,1.6006327414593765e-08,,,82.99818229675293,12.135234117507935,0.00022554397583007812
01011112222,010-1111-2222,not in the log,0,0,3.8149850235508434e-10,0,0,32768,32768,1.0596626103701752e-09,,,79.40653657913208,12.324174165725708,0.0001220703125
